user_name,true_risk,predicted_risk,vh_proba,extreme_proba,high_proba,low_proba
u119172297,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u476287818,No risk,No risk,0.0000,0.0000,0.0000,0.0000
alexs202,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u453637029,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u513832209,No risk,No risk,0.0000,0.0000,0.0000,0.0000
adam137281,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u59087021,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u298411136,No risk,No risk,0.0000,0.0000,0.0000,0.0000
dailyman223,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u504115308,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u392484411,No risk,No risk,0.0000,0.0000,0.0000,0.0000
crilgeral,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u304684574,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u334030925,No risk,No risk,0.0000,0.0000,0.0000,0.0000
valikordo,No risk,No risk,0.0000,0.0000,0.0000,0.0000
lustfulgoat,No risk,No risk,0.0000,0.0000,0.0000,0.0000
neighborr,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u137034691,No risk,No risk,0.0000,0.0000,0.0000,0.0000
honschulee,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u512792321,No risk,No risk,0.0000,0.0000,0.0000,0.0000
abd0g,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u167750427,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u124391725,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u425885617,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u371694457,No risk,No risk,0.0000,0.0000,0.0000,0.0000
easylowkey,No risk,No risk,0.0000,0.0000,0.0000,0.0000
airisjb69,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u527497431,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u512411341,No risk,No risk,0.0000,0.0000,0.0000,0.0000
claptone9,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u298562995,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u321916863,No risk,No risk,0.0000,0.0000,0.0000,0.0000
lewa995,No risk,No risk,0.0000,0.0000,0.0000,0.0000
oscentl,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u262087540,No risk,No risk,0.0000,0.0000,0.0000,0.0000
peteral75992454,No risk,No risk,0.0000,0.0000,0.0000,0.0000
toni.loopezzz,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u468994503,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u520465554,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u477768347,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u325979001,No risk,No risk,0.0000,0.0000,0.0000,0.0000
cess10,No risk,No risk,0.0000,0.0000,0.0000,0.0000
chriskatal,No risk,No risk,0.0000,0.0000,0.0000,0.0000
easterbunny29,No risk,No risk,0.0000,0.0000,0.0000,0.0000
matth27v,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u457389291,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u306573381,No risk,No risk,0.0000,0.0000,0.0000,0.0000
jimeez10,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u392006633,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u536991101,No risk,No risk,0.0000,0.0000,0.0000,0.0000
rolobolo,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u146116543,No risk,No risk,0.0000,0.0000,0.0000,0.0000
jo531,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u386453512,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u294650545,No risk,No risk,0.0000,0.0000,0.0000,0.0000
santi189,No risk,No risk,0.0000,0.0000,0.0000,0.0000
bartolo6,No risk,No risk,0.0000,0.0000,0.0000,0.0000
pierreparisien,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u34216166,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u344590155,No risk,No risk,0.0000,0.0000,0.0000,0.0000
brown.aesthetics,No risk,No risk,0.0000,0.0000,0.0000,0.0000
federicocarleo1,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u533299486,No risk,No risk,0.0000,0.0000,0.0000,0.0000
lolacoss,No risk,No risk,0.0000,0.0000,0.0000,0.0000
aand28,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u449642291,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u227718109,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u113635357,No risk,No risk,0.0000,0.0000,0.0000,0.0000
sergiobc89,No risk,No risk,0.0000,0.0000,0.0000,0.0000
faousi,No risk,No risk,0.0000,0.0000,0.0000,0.0000
tr3vdaddy,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u442778297,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u341247011,No risk,No risk,0.0000,0.0000,0.0000,0.0000
mc101993,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u286785395,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u492976802,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u532981504,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u325577296,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u22675267,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u402eerreww221,No risk,No risk,0.0000,0.0000,0.0000,0.0000
crazyssskittles,No risk,No risk,0.0000,0.0000,0.0000,0.0000
m.raychev,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u192193331,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u345384378,No risk,No risk,0.0000,0.0000,0.0000,0.0000
your_sweet.devil,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u393932766,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u279676378,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u408642620,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u170704672,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u22572952,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u342662154,No risk,No risk,0.0000,0.0000,0.0000,0.0000
sayakamosko,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u19914798,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u402032433,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u531550152,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u244494198,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u438839184,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u408334462,No risk,No risk,0.0000,0.0000,0.0000,0.0000
jose28192995,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u537304803,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u133201856,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u501520068,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u206457002,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u556019599,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u553672833,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u524027938,No risk,No risk,0.0000,0.0000,0.0000,0.0000
davidllumiqui11,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u556332006,No risk,No risk,0.0000,0.0000,0.0000,0.0000
mrstruggle1213,No risk,No risk,0.0000,0.0000,0.0000,0.0000
hotteaphotography,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u554569374,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u309920561,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u446151033,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u50144754,No risk,No risk,0.0000,0.0000,0.0000,0.0000
ajm3107,No risk,No risk,0.0000,0.0000,0.0000,0.0000
average-joey,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u348904740,No risk,No risk,0.0000,0.0000,0.0000,0.0000
spiritpanda,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u9167012a,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u20891900,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u113391745,No risk,No risk,0.0000,0.0000,0.0000,0.0000
val5869,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u299296416,No risk,No risk,0.0000,0.0000,0.0000,0.0000
konthebus,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u416409171,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u335145118,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u106244823,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u7820572,No risk,No risk,0.0000,0.0000,0.0000,0.0000
luxorko94,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u384653885,No risk,No risk,0.0000,0.0000,0.0000,0.0000
mcjimst01,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u41318228,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u153590629,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u422623441,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u117636677,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u32798383,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u155240770,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u208961786,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u153152107,No risk,No risk,0.0000,0.0000,0.0000,0.0000
alex73538938494,No risk,No risk,0.0000,0.0000,0.0000,0.0000
arturo.drago,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u457346675,No risk,No risk,0.0000,0.0000,0.0000,0.0000
bigb0yt0y,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u488455487,No risk,No risk,0.0000,0.0000,0.0000,0.0000
chrizzyb7,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u397477105,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u310927263,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u510473959,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u259170831,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u447080599,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u393247317,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u250727504,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u539378364,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u123386717,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u4586817,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u535857756,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u516861944,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u166838570,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u509433445,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u525775661,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u532915186,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u285379036,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u551451537,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u529627609,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u470940802,No risk,No risk,0.0000,0.0000,0.0000,0.0000
iowabwc03,No risk,No risk,0.0000,0.0000,0.0000,0.0000
brahyanfaa,No risk,No risk,0.0000,0.0000,0.0000,0.0000
clnxlunar,No risk,No risk,0.0000,0.0000,0.0000,0.0000
ale-walle123,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u222356115,No risk,No risk,0.0000,0.0000,0.0000,0.0000
inlovewithhugeasses,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u555072472,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u296189001,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u293350622,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u111727667,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u462769549,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u453075260,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u123722357,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u548219770,No risk,No risk,0.0000,0.0000,0.0000,0.0000
best_of_gerlie_fluffer,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u197574805,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u37812679,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u306695488,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u517427861,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u464425946,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u215134456,No risk,No risk,0.0000,0.0000,0.0000,0.0000
mahilover07,No risk,No risk,0.0000,0.0000,0.0000,0.0000
ajkdhdb,No risk,No risk,0.0000,0.0000,0.0000,0.0000
tippyjoint,No risk,No risk,0.0000,0.0000,0.0000,0.0000
atomicoras,No risk,No risk,0.0000,0.0000,0.0000,0.0000
brokendr3ams,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u493216243,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u456642130,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u488091803,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u360260254,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u35049906,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u505761204,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u178676562,No risk,No risk,0.0000,0.0000,0.0000,0.0000
naughtydave91,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u363032097,No risk,No risk,0.0000,0.0000,0.0000,0.0000
og18og,No risk,No risk,0.0000,0.0000,0.0000,0.0000
socksyalex,No risk,No risk,0.0000,0.0000,0.0000,0.0000
thongs4girls,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u519688514,No risk,No risk,0.0000,0.0000,0.0000,0.0000
meisterjake,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u521302426,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u532000980,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u842028,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u525295408,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u496203606,No risk,No risk,0.0000,0.0000,0.0000,0.0000
kostasaris,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u272288293,No risk,No risk,0.0000,0.0000,0.0000,0.0000
serboz,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u467031471,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u448292450,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u455772190,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u536689624,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u294103969,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u113102639,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u445981998,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u94169095,No risk,No risk,0.0000,0.0000,0.0000,0.0000
edwaaard,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u530562084,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u73893952,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u381893315,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u222936297,No risk,No risk,0.0000,0.0000,0.0000,0.0000
iceman690000,No risk,No risk,0.0000,0.0000,0.0000,0.0000
myaccissecret,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u186727792,No risk,No risk,0.0000,0.0000,0.0000,0.0000
ryderr131,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u484579726,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u198146798,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u526563593,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u71894038,No risk,No risk,0.0000,0.0000,0.0000,0.0000
sergio45129585,No risk,No risk,0.0000,0.0000,0.0000,0.0000
kingjon0707,No risk,No risk,0.0000,0.0000,0.0000,0.0000
bearded_fatty,No risk,No risk,0.0000,0.0000,0.0000,0.0000
michaelmar89181,No risk,No risk,0.0000,0.0000,0.0000,0.0000
cursedfafnir586,No risk,No risk,0.0000,0.0000,0.0000,0.0000
dtk19966,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u449003524,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u309510929,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u515786009,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u529871878,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u439918459,No risk,No risk,0.0000,0.0000,0.0000,0.0000
davefromla,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u308676343,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u504947293,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u437790194,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u423417900,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u555059004,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u445379182,No risk,No risk,0.0000,0.0000,0.0000,0.0000
larrylar52746,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u189488365,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u100289204,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u32253675,No risk,No risk,0.0000,0.0000,0.0000,0.0000
rhodesernest369,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u464468854,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u506208864,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u522617648,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u5693242,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u306716925,No risk,No risk,0.0000,0.0000,0.0000,0.0000
dirtyspice,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u37690500,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u103124792,No risk,No risk,0.0000,0.0000,0.0000,0.0000
billko,No risk,No risk,0.0000,0.0000,0.0000,0.0000
